internal_task_category,outward_project,outward_assignment
Deployment,Northwell - Neurons,Neuron Installation
Troubleshooting,Northwell - Neurons,Neuron Installation
Validation / Testing,Northwell - Neurons,Neuron Installation
Repurposing / Reallocation,Northwell - Neurons,Neuron Installation
Incident Response,Northwell - Neurons,Neuron Installation
Reimage Support,Northwell - Neurons,Neuron Installation
Production Support,Northwell - Neurons,Neuron Installation
Workflow Continuity,Northwell - Neurons,Neuron Installation
Training / Enablement,Northwell - Neurons,Training / Enablement
Documentation / Survey,Northwell - Neurons,Documentation / Survey
Logistics / Disposal,Northwell - Neurons,Delivery / Transport / Disposal
Staging / Count,Northwell - Neurons,Delivery / Transport / Disposal
Other,Northwell - Neurons,Neuron Installation

